dept_name,year,month_number,month_name,total_billed,total_paid,total_outstanding,transaction_count,avg_stay
Pediatrics,2022,1,January,190352.21,168316.96,22035.25,31,0.9354838709677419
Pediatrics,2022,2,February,125270.43,99144.76,26125.67,24,1.0416666666666667
Pediatrics,2022,3,March,140469.41,117680.2,22789.21,23,0.9130434782608695
Pediatrics,2022,4,April,104527.24,89897.93,14629.31,22,0.2727272727272727
Pediatrics,2022,5,May,98900.47,82670.91,16229.56,21,0.7619047619047619
Pediatrics,2022,6,June,153890.34,123199.12,30691.22,22,0.6363636363636364
Pediatrics,2022,7,July,130609.62,110219.09,20390.53,25,0.96
Pediatrics,2022,8,August,143263.83,117292.98,25970.85,30,0.23333333333333334
Pediatrics,2022,9,September,192823.73,159801.21,33022.52,29,0.896551724137931
Pediatrics,2022,10,October,86753.52,73811.18,12942.34,20,1.05
Pediatrics,2022,11,November,172983.22,146231.25,26751.97,29,0.5172413793103449
Pediatrics,2022,12,December,88579.19,71972.75,16606.44,19,0.5263157894736842
Pediatrics,2023,1,January,165416.84,132560.12,32856.72,32,0.84375
Pediatrics,2023,2,February,117444.8,97860.22,19584.58,18,0.6666666666666666
Pediatrics,2023,3,March,147938.77,120531.99,27406.78,21,0.9523809523809523
Pediatrics,2023,4,April,129751.55,105096.75,24654.8,22,0.8636363636363636
Pediatrics,2023,5,May,127295.81,107323.27,19972.54,19,0.631578947368421
Pediatrics,2023,6,June,173251.9,145719.45,27532.45,26,0.19230769230769232
Pediatrics,2023,7,July,121362.12,109874.81,11487.31,22,0.5909090909090909
Pediatrics,2023,8,August,123561.61,99403.46,24158.15,22,1.0909090909090908
Pediatrics,2023,9,September,156909.51,130354.16,26555.35,30,0.6333333333333333
Pediatrics,2023,10,October,107904.81,89588.17,18316.64,17,1.4117647058823528
Pediatrics,2023,11,November,138632.04,119427.64,19204.4,22,0.6363636363636364
Pediatrics,2023,12,December,154430.68,132261.04,22169.64,27,0.5555555555555556
Pediatrics,2024,1,January,150711.16,117369.91,33341.25,22,0.6363636363636364
Pediatrics,2024,2,February,147695.33,122891.26,24804.07,25,0.64
Pediatrics,2024,3,March,147720.97,124074.7,23646.27,21,0.47619047619047616
Pediatrics,2024,4,April,159928.59,129484.15,30444.44,26,0.6153846153846154
Pediatrics,2024,5,May,170173.32,140930.44,29242.88,31,1.6774193548387097
Pediatrics,2024,6,June,112235.48,88723.13,23512.35,17,0.11764705882352941
Pediatrics,2024,7,July,115180.29,99219.44,15960.85,29,0.7241379310344828
Pediatrics,2024,8,August,128075.44,113933.63,14141.81,26,0.3076923076923077
Pediatrics,2024,9,September,145781.29,125523.82,20257.47,28,0.42857142857142855
Pediatrics,2024,10,October,137924.71,117355.24,20569.47,21,0.19047619047619047
Pediatrics,2024,11,November,106749.7,91062.6,15687.1,18,0.3333333333333333
Pediatrics,2024,12,December,241407.0,206550.62,34856.38,38,0.9210526315789473
Radiology,2022,1,January,244087.68,208707.34,35380.34,54,0.48148148148148145
Radiology,2022,2,February,151844.39,122004.4,29839.99,34,0.5882352941176471
Radiology,2022,3,March,156816.5,138771.04,18045.46,42,0.42857142857142855
Radiology,2022,4,April,195205.87,168420.68,26785.19,46,0.8043478260869565
Radiology,2022,5,May,168722.75,137057.34,31665.41,47,0.5531914893617021
Radiology,2022,6,June,210429.06,176330.48,34098.58,45,0.37777777777777777
Radiology,2022,7,July,235495.08,189576.07,45919.01,56,0.5178571428571429
Radiology,2022,8,August,197494.61,169705.56,27789.05,44,0.6136363636363636
Radiology,2022,9,September,303482.45,254345.11,49137.34,59,0.4915254237288136
Radiology,2022,10,October,220277.27,186275.22,34002.05,52,0.7307692307692307
Radiology,2022,11,November,188149.17,158190.56,29958.61,42,0.6666666666666666
Radiology,2022,12,December,239080.6,199449.54,39631.06,55,0.2
Radiology,2023,1,January,247242.19,210061.79,37180.4,61,0.4918032786885246
Radiology,2023,2,February,178257.01,144291.36,33965.65,36,0.4444444444444444
Radiology,2023,3,March,250773.38,203782.88,46990.5,54,0.6481481481481481
Radiology,2023,4,April,168969.54,144660.13,24309.41,41,0.5365853658536586
Radiology,2023,5,May,153767.06,124233.3,29533.76,39,0.717948717948718
Radiology,2023,6,June,250530.4,213762.13,36768.27,51,0.5882352941176471
Radiology,2023,7,July,222930.37,187381.66,35548.71,60,0.8166666666666667
Radiology,2023,8,August,234798.7,192195.46,42603.24,57,0.6842105263157895
Radiology,2023,9,September,265000.95,233347.93,31653.02,69,0.7971014492753623
Radiology,2023,10,October,226639.26,193530.09,33109.17,48,0.375
Radiology,2023,11,November,257278.34,207505.38,49772.96,55,0.6545454545454545
Radiology,2023,12,December,277630.17,225249.16,52381.01,71,0.9436619718309859
Radiology,2024,1,January,262885.1,213026.79,49858.31,52,0.4230769230769231
Radiology,2024,2,February,256254.17,202464.22,53789.95,54,0.2777777777777778
Radiology,2024,3,March,207644.44,172547.52,35096.92,42,0.38095238095238093
Radiology,2024,4,April,173774.26,143603.41,30170.85,39,0.4358974358974359
Radiology,2024,5,May,238458.56,201135.89,37322.67,54,0.24074074074074073
Radiology,2024,6,June,221002.57,187049.54,33953.03,43,0.4186046511627907
Radiology,2024,7,July,252258.89,199305.85,52953.04,59,0.5084745762711864
Radiology,2024,8,August,281653.95,214370.43,67283.52,62,0.46774193548387094
Radiology,2024,9,September,279032.8,232498.19,46534.61,58,0.603448275862069
Radiology,2024,10,October,260276.2,214827.35,45448.85,56,0.32142857142857145
Radiology,2024,11,November,167669.79,133696.75,33973.04,39,0.8974358974358975
Radiology,2024,12,December,246984.05,197796.1,49187.95,54,0.9444444444444444
